CIV	Cﾙte d'Ivoire	Total investment	Percent of GDP		8.966	2011
CIV	Cﾙte d'Ivoire	Gross national savings	Percent of GDP		10.067	2011
CIV	Cﾙte d'Ivoire	General government gross debt	Percent of GDP		66.433	2011
HRV	Croatia	Gross domestic product per capita, current prices	U.S. dollars	Units	13449.16	2010
HRV	Croatia	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	17576.67	2010
HRV	Croatia	Total investment	Percent of GDP		22.664	2011
HRV	Croatia	Gross national savings	Percent of GDP		21.612	2011
HRV	Croatia	General government gross debt	Percent of GDP		42.207	2011
CYP	Cyprus	Gross domestic product per capita, current prices	U.S. dollars	Units	27387.29	2011
CYP	Cyprus	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	27526.21	2011
CYP	Cyprus	Total investment	Percent of GDP		19.66	2011
CYP	Cyprus	Gross national savings	Percent of GDP		9.784	2011
CYP	Cyprus	General government gross debt	Percent of GDP		61.456	2011
CZE	Czech Republic	Gross domestic product per capita, current prices	U.S. dollars	Units	18813.94	2010
CZE	Czech Republic	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	26121.9	2010
CZE	Czech Republic	Total investment	Percent of GDP		25.087	2011
CZE	Czech Republic	Gross national savings	Percent of GDP		21.242	2011
CZE	Czech Republic	General government gross debt	Percent of GDP		37.553	2011
DNK	Denmark	Gross domestic product per capita, current prices	U.S. dollars	Units	56369.2	2011
DNK	Denmark	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	36165.98	2011
DNK	Denmark	Total investment	Percent of GDP		17.163	2011
DNK	Denmark	Gross national savings	Percent of GDP		22.683	2011
DNK	Denmark	General government gross debt	Percent of GDP		42.904	2011
DJI	Djibouti	Gross domestic product per capita, current prices	U.S. dollars	Units	1369.52	1999
DJI	Djibouti	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	2537.06	1999
DJI	Djibouti	Total investment	Percent of GDP		20.755	1999
DJI	Djibouti	Gross national savings	Percent of GDP		14.908	1999
DJI	Djibouti	General government gross debt	Percent of GDP		56.143	2011
DMA	Dominica	Gross domestic product per capita, current prices	U.S. dollars	Units	6802.19	2011
DMA	Dominica	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	13890.92	2011
DMA	Dominica	Total investment	Percent of GDP		21.194	2011
DMA	Dominica	Gross national savings	Percent of GDP		5.191	2011
DMA	Dominica	General government gross debt	Percent of GDP		68.922	2011
DOM	Dominican Republic	Gross domestic product per capita, current prices	U.S. dollars	Units	5226.77	2004
DOM	Dominican Republic	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	8859.72	2004
DOM	Dominican Republic	Total investment	Percent of GDP		16.476	2011
DOM	Dominican Republic	Gross national savings	Percent of GDP		7.91	2011
DOM	Dominican Republic	General government gross debt	Percent of GDP		28.677	2011
ECU	Ecuador	Gross domestic product per capita, current prices	U.S. dollars	Units	3919.64	2010
ECU	Ecuador	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	7825.58	2010
ECU	Ecuador	Total investment	Percent of GDP		26.176	2011
ECU	Ecuador	Gross national savings	Percent of GDP		23.4	2011
ECU	Ecuador	General government gross debt	Percent of GDP		16.108	2011
EGY	Egypt	Gross domestic product per capita, current prices	U.S. dollars	Units	2775.92	2010
EGY	Egypt	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	6343.95	2010
EGY	Egypt	Total investment	Percent of GDP		19.501	2011
EGY	Egypt	Gross national savings	Percent of GDP		17.525	2011
